Player,Position,School,Height,Weight,40-yd Dash,Vertical Jump,Bench Press,Broad Jump,3-Cone Drill,20-yd Shuttle
Domonique Orange,DT,Iowa State,74,322,,,,0,,
LT Overton,EDGE,Alabama,75,274,4.87,,,0,,
T.J. Parker,EDGE,Clemson,75,263,4.68,34,,120,,
Patrick Payton,EDGE,LSU,77,260,,,,0,,
Kaleb Proctor,DT,Southeastern Louisiana ,74,291,4.79,33,,113,,4.71
Jack Pyburn,DE,LSU,76,258,,,,0,,
Albert Regis,DT,Texas A&M,73,295,4.88,34,,116,,4.85
Mason Reiger,DT,Wisconsin,77,251,4.78,40,,125,,
Tyreak Sapp,EDGE,Florida,74,273,,,28,0,,
Gary Smith III,EDGE,UCLA,73,319,,28,,0,,
R Mason Thomas,EDGE,Oklahoma,74,241,4.67,,,0,,
Nadame Tucker ,EDGE,Western Michigan,74,247,4.73,33.5,,119,,
Damonic Williams,DT,Oklahoma,74,305,,,30,0,,
Wesley Williams ,EDGE,Duke,76,256,4.89,35.5,,120,,
Peter Woods ,DT,Clemson,74,298,,,,0,,
Zion Young,EDGE,Missouri ,78,262,,,,0,,
Chris Adams,OG,Memphis,77,311,,,,0,,
Austin Barber,OT,Florida,79,318,5.12,32,,111,,
Evan Beerntsen,OT,Northwestern,75,301,5.25,32.5,,105,,
Markel Bell,OG,Miami,81,346,5.36,,,0,,
Chase Bisontis,OG,Texas A&M,77,315,5.02,32,29,105,7.53,4.78
Jude Bowry,OT,Boston College,77,314,5.08,34.5,,115,,
Parker Brailsford,C,Alabama ,74,289,4.95,32.5,27,116,,4.72
Joshua Braun,OT,Kentucky,78,325,,,22,101,7.62,
Travis Burke ,OG,Memphis,80,325,5.17,,,107,,
Jager Burton,OG,Kentucky,76,312,4.94,,,110,,
DJ Campbell,OT,Texas,75,313,5.01,,,104,,
Fernando Carmona,OG,Arkansas,77,316,5.22,,26,103,7.5,4.75
Kage Casey,C,Boise State,78,310,5.2,,,0,8.01,
Pat Coogan,C,Indiana,77,311,,,,0,,
Anez Cooper,OG,Miami,78,334,,,,0,,
Dametrious Crownover,OG,Texas A&M ,79,319,5.14,,,0,,
Enrique Cruz Jr,OG,Kansas,77,313,4.94,35,,116,,
JC Davis,C,Illinois,76,322,5.16,30.5,,99,,
Garrett DiGiorgio,OT,UCLA,79,319,5.36,29.5,24,118,,
Gennings Dunker,C,Iowa,77,319,5.18,,,108,,4.63
Fa'alili Fa'amoe,OG,Wake Forest,77,311,,,,0,,
Spencer Fano,OT,Utah,77,311,4.91,32,,111,7.34,4.67
Jalen Farmer,OG,Kentucky ,77,312,4.93,,,108,,
Monroe Freeling,OT,Georgia,79,315,4.93,33.5,,0,,
Matt Gulbin,OT,Michigan State,76,305,,,,0,,
Alex Harkey,OT,Oregon,78,308,,,,0,,
Sam Hecht,C,Kansas State,76,303,5.1,,,101,7.75,4.71
Alan Herron,OG,Maryland,77,308,5.09,32,,0,8.2,5.09
Max Iheanachor,OT,Arizona State,77,321,4.91,30.5,25,115,,
Olaivavega Ioane,OG,Penn State,76,320,,31.5,,104,,
Logan Jones,OT,Iowa,75,299,4.9,31,,110,7.46,4.59
Connor Lew,OG,Auburn,75,310,,,31,0,,
Caleb Lomu,OT,Utah,78,313,4.99,32.5,,113,,
Francis Mauigoa,OT,Miami,77,329,,,,0,,
Blake Miller,OG,Clemson,78,317,5.04,32,32,113,,
Micah Morris ,OT,Georgia,77,334,5.09,,29,112,,
Febechi Nwaiwu,OG,Oklahoma,76,319,,24.5,,0,7.8,4.73
Brian Parker II,OT,Duke ,77,309,5.14,,29,0,7.66,4.8
Diego Pounds,OG,Mississippi ,78,325,5.15,30,,112,7.9,
Emmanuel Pregnon,OT,Oregon,76,314,5.21,35,,111,,
Kadyn Proctor,OT,Alabama,78,352,5.22,32.5,25,109,,
Armaj Reed-Adams,OG,Texas A&M ,78,314,5.28,,,0,7.88,
Jaeden Roberts,OT,Alabama ,77,333,,,25,0,,
Keylan Rutledge ,C,Georgia Tech,76,316,5.05,32.5,,104,7.54,
Billy Schrauth,OG,Notre Dame,77,310,,,,0,,
Drew Shelton,OT,Penn State,77,313,5.18,31,,112,,
Jake Slaughter,C,Florida ,77,303,5.1,32.5,,110,,
Beau Stephens,OG,Iowa,77,315,5.35,28,,102,,
Logan Taylor,OT,Boston College,79,314,5.18,,,108,7.75,4.84
Caleb Tiernan,OG,Northwestern,80,323,,35.5,,111,,
Keagen Trost,OT,Missouri ,77,311,,31,,0,,
Dillon Wade,OG,Auburn,75,316,5.02,28.5,,104,,
Aamil Wagner,OT,Notre Dame,78,306,5.01,29.5,21,108,,
Carver Willis,OT,Washington,77,303,5.11,26.5,,0,,
Jeremiah Wright,OG,Auburn,77,331,,,,0,,
CJ Allen,ILB,Georgia,72,230,,,,0,,
Lander Burton,ILB,Utah ,77,233,,,,0,,
Wesley Bissainthe,ILB,Miami,74,225,,,,0,,
Bryce Boettcher,ILB,Oregon,73,233,,,,0,,
Kendal Daniels,OLB,Oklahoma,77,242,,,,0,,
Kaleb Elarms-Orr,ILB,TCU,74,234,4.47,4.47,,124,,4.41
Keyshaun Elliott,ILB,Arizona State,74,231,,,21,125,,
Aiden Fisher,ILB,Indiana,73,232,,,,0,,
Eric Gentry ,OLB,USC,79,221,,,,0,,
Jake Golday,ILB,Cincinnati ,76,239,4.62,4.62,,0,7.02,4.34
Owen Heinecke,ILB,Oklahoma,73,228,4.62,4.62,,119,7.15,
Anthony Hill Jr,ILB,Texas ,74,238,4.51,4.51,21,125,,
Justin Jefferson ,OLB,Alabama,72,223,4.57,4.57,,125,,
Jack Kelly,ILB,BYU,74,240,4.57,4.57,,125,7.12,4.19
Deontae Lawson,ILB,Alabama,75,226,,,,0,,
Kyle Louis,ILB,Pittsburgh ,72,220,4.53,4.53,,129,6.97,4.26
Red Murdock,ILB,Buffalo,74,232,,,,0,,
Namdi Obiazor,ILB,TCU,75,229,4.53,4.53,,119,7.24,4.36
Harold Perkins Jr,OLB,LSU,73,223,,,,0,,
Arvell Reese,EDGE,Ohio State,76,241,4.46,4.46,,0,,
Jacob Rodriguez ,ILB,Texas Tech,73,231,4.57,4.57,,121,6.9,4.19
Jimmy Rolder,ILB,Michigan,74,238,,,,119,7,4.26
Karson Sharar,ILB,Iowa,73,231,4.56,4.56,,123,,
Xavien Sorey Jr,ILB,Arkansas ,74,228,4.63,4.63,,120,7,4.42
Sonny Styles ,OLB,Ohio State ,77,244,4.46,4.46,,134,7.09,4.26
Josiah Trotter,ILB,Missouri ,74,237,,,27,0,,
Scooby Williams,ILB,Texas A&M,74,231,,,,0,,
Wade Woodaz,ILB,Clemson,75,236,,,,0,,
Taurean York,OLB,Texas A&M,71,226,,,25,0,7.32,4.48
Keith Abney II,CB,Arizona State,70,187,,,,0,,
Marcus Allen,S,North Carolina,73,187,4.5,39,,123,,
Jadon Canady,CB,Oregon,70,181,,,,0,,
Brandon Cisse,S,South Carolina ,72,189,,41,,131,,
Bud Clark,S,TCU,73,188,4.41,38,,0,,
Tacario Davis,CB,Washington,75,194,4.41,,,123,,
Mansoor Delane,CB,LSU,72,187,,,,0,,
Charles Demmings,CB,Stephen F. Austin ,73,193,4.41,42,,132,,
Thaddeus Dixon,CB,North Carolina ,73,195,,39.5,,125,,
Caleb Downs ,S,Ohio State,71,206,,,,0,,
Daylen Everette,CB,Georgia ,73,196,4.38,,,124,,
Bishop Fitzgerald ,S,USC,71,201,4.55,,,0,,
Andre Fuller,S,Toledo,73,200,4.49,,,129,,4.28
Jaylon Guibeau,CB,Texas ,71,190,,,,0,, 
TJ Hall,S,Iowa,73,189,4.59,,,0,7.19,4.19
Ahmari Harvey ,CB,Georgia Tech,71,185,,,,0,,
AJ Haulcy,CB,LSU,71,215,4.52,,,0,,
Colton Hood,S,Tennessee,71,193,4.44,40.5,,125,,
Jalen Huskey,S,Maryland,73,196,,,,0,,
Davidson Igbinosun,CB,Ohio State,74,189,4.45,,,120,,
Domani Jackson,CB,Alabama,73,194,4.41,,,0,,
Chris Johnson,CB,San Diego State,72,193,4.4,,,126,,
Dalton Johnson ,S,Arizona ,71,192,4.41,,,0,,
Jalon Kilgore,CB,South Carolina,73,210,4.4,,,0,,4.32
Will Lee III,CB,Texas A&M,73,189,4.52,42,,132,,
Hezekiah Masses,S,Cal,73,179,4.46,,,119,,
Jermod McCoy ,CB,Tennessee ,72,188,,,,0,,
Latrell McCutchin Sr.,CB,Houston,74,191,4.43,,,131,7,4.18
Emmanuel McNeil-Warren,S,Toledo ,75,201,4.52,,,0,,
Devin Moore,CB,Florida ,75,198,4.5,,,0,,
Louis Moore ,CB,Indiana,71,191,,,,0,,
Ahmaad Moses ,CB,SMU,69,196,,38,,0,,
Malik Muhammad ,CB,Texas,72,182,4.42,39,,131,,
Julian Neal ,S,Arkansas,74,203,4.49,40,,134,7.13,4.2
Xavier Nwankpa,S,Iowa,74,208,4.48,,,0,,
VJ Payne,CB,Kansas State,75,206,4.4,,,0,,
D'Angelo Ponds,CB,Indiana ,68,182,,43.5,,0,,
Toriano Pride Jr,CB,Missouri ,70,185,4.32,,,128,7.2,
Ephesians Prysock,CB,Washington ,75,196,4.45,39,,124,,
Kamari Ramsey ,S,USC,72,202,4.47,,,0,,
