2024
18	Frank Harris	UTSA	SR	QB	14	399	263	65.9	3161	7.9	27	6	151.78	28.5	225.8
18	Malik Willis	Liberty	JR	QB	13	339	207	61.1	2857	8.4	27	12	151.06	26.1	219.8
2020
1	Kyle Trask	Florida	SR	QB	12	437	301	68.9	4283	9.8	43	8	180.02	36.4	356.9
2	Mac Jones	Alabama	JR	QB	13	402	311	77.4	4500	11.2	41	4	203.06	30.9	346.2
3	Zach Wilson	BYU	JR	QB	12	336	247	73.5	3692	11.0	33	3	196.43	28.0	307.7
4	Dillon Gabriel	UCF	SO	QB	10	413	248	60.0	3570	8.6	32	4	156.29	41.3	357.0
5	Brady White	Memphis	SR	QB	11	420	254	60.5	3380	8.0	31	10	147.68	38.2	307.3
6	Sam Howell	N Carolina	SO	QB	12	348	237	68.1	3586	10.3	30	7	179.09	29.0	298.8
7	Matt Corral	Miss	SO	QB	10	326	231	70.9	3337	10.2	29	14	177.61	32.6	333.7
8	Spencer Rattler	Oklahoma	FR	QB	11	317	214	67.5	3031	9.6	28	7	172.56	28.8	275.5
9	Carson Strong	Nevada	SO	QB	9	355	249	70.1	2858	8.1	27	4	160.62	39.4	317.6
10	Sam Ehlinger	Texas	SR	QB	10	322	194	60.2	2566	8.0	26	5	150.73	32.2	256.6
10	Grayson McCall	Coast Car	FR	QB	11	250	172	68.8	2488	10.0	26	3	184.32	22.7	226.2
12	Trevor Lawrence	Clemson	JR	QB	10	334	231	69.2	3153	9.4	24	5	169.18	33.4	315.3
13	Shane Buechele	SMU	SR	QB	10	370	242	65.4	3095	8.4	23	6	152.95	37.0	309.5
13	D'Eriq King	Miami (Fl)	SR	QB	11	329	211	64.1	2686	8.2	23	5	152.74	29.9	244.2
15	Justin Fields	Ohio State	JR	QB	8	225	158	70.2	2100	9.3	22	6	175.56	28.1	262.5
2019
1	Joe Burrow	LSU	SR	QB	15	527	402	76.3	5671	10.8	60	6	201.96	35.1	378.1
2	Anthony Gordon	Wash St	SR	QB	13	687	493	71.8	5579	8.1	48	16	158.38	52.8	429.2
3	Justin Fields	Ohio State	SO	QB	14	354	238	67.2	3273	9.2	41	3	181.43	25.3	233.8
4	Sam Howell	N Carolina	FR	QB	13	422	259	61.4	3641	8.6	38	7	160.25	32.5	280.1
5	Trevor Lawrence	Clemson	SO	QB	15	407	268	65.8	3665	9.0	36	8	166.75	27.1	244.3
6	Shane Buechele	SMU	JR	QB	13	490	307	62.7	3929	8.0	34	10	148.82	37.7	302.2
6	Ian Book	Notre Dame	SR	QB	13	399	240	60.2	3034	7.6	34	6	149.13	30.7	233.4
8	Tua Tagovailoa	Alabama	JR	QB	9	252	180	71.4	2840	11.3	33	3	206.93	28.0	315.6
8	Cole McDonald	Hawai'i	JR	QB	14	511	326	63.8	4135	8.1	33	14	147.60	36.5	295.4
8	Brady White	Memphis	JR	QB	14	420	269	64.0	4014	9.6	33	11	165.02	30.0	286.7
11	Sam Ehlinger	Texas	JR	QB	13	454	296	65.2	3663	8.1	32	10	151.82	34.9	281.8
11	Jalen Hurts	Oklahoma	SR	QB	14	340	237	69.7	3851	11.3	32	8	191.20	24.3	275.1
11	Justin Herbert	Oregon	SR	QB	14	428	286	66.8	3471	8.1	32	6	156.81	30.6	247.9
1	Dwayne Haskins	Ohio State	SO	QB	14	533	373	70.0	4831	9.1	50	8	174.08	38.1	345.1
2	Tua Tagovailoa	Alabama	SO	QB	15	355	245	69.0	3966	11.2	43	6	199.44	23.7	264.4
3	Kyler Murray	Oklahoma	JR	QB	14	377	260	69.0	4361	11.6	42	7	199.20	26.9	311.5
4	Gardner Minshew II	Wash St	SR	QB	13	662	468	70.7	4779	7.2	38	9	147.56	50.9	367.6
5	Will Grier	WVU	SR	QB	11	397	266	67.0	3864	9.7	37	8	175.49	36.1	351.3
6	Cole McDonald	Hawai'i	SO	QB	13	484	285	58.9	3875	8.0	36	10	146.55	37.2	298.1
6	D'Eriq King	Houston	JR	QB	11	345	219	63.5	2982	8.6	36	6	167.04	31.4	271.1
8	Taylor Cornelius	Okla St	SR	QB	13	485	288	59.4	3978	8.2	32	13	144.69	37.3	306.0
8	Jordan Love	Utah State	SO	QB	13	417	267	64.0	3567	8.6	32	6	158.32	32.1	274.4
10	Brett Rypien	Boise St	SR	QB	13	447	301	67.3	3705	8.3	30	7	155.99	34.4	285.0
10	Trevor Lawrence	Clemson	FR	QB	15	397	259	65.2	3280	8.3	30	4	157.56	26.5	218.7
10	Jake Fromm	Georgia	SO	QB	14	306	206	67.3	2749	9.0	30	6	171.22	21.9	196.4
13	K.J. Costello	Stanford	JR	QB	13	413	269	65.1	3540	8.6	29	11	154.97	31.8	272.3
13	Brent Stockstill	MTSU	SR	QB	14	464	326	70.3	3544	7.6	29	10	150.74	33.1	253.1
13	Justin Herbert	Oregon	JR	QB	13	404	240	59.4	3151	7.8	29	8	144.66	31.1	242.4
