pick,team name,name,position,college,year
15,Broncos,Jerry Jeudy,WR,Alabama,2020
16,Falcons,A.J. Terrell,CB,Clemson,2020
17,Cowboys,CeeDee Lamb,WR,Oklahoma,2020
18,Dolphins,Austin Jackson,T,USC,2020
19,Raiders,Damon Arnette,CB,Ohio State,2020
20,Jaguars,K'Lavon Chaisson,EDGE,LSU,2020
21,Eagles,Jalen Reagor,WR,TCU,2020
22,Vikings,Justin Jefferson,WR,LSU,2020
23,Chargers,"Kenneth Murray, Jr.",LB,Oklahoma,2020
24,Saints,Cesar Ruiz,C,Michigan,2020
25,49ers,Brandon Aiyuk,WR,Arizona State,2020
26,Packers,Jordan Love,QB,Utah State,2020
27,Seahawks,Jordyn Brooks,LB,Texas Tech,2020
28,Ravens,Patrick Queen,LB,LSU,2020
29,Titans,Isaiah Wilson,T,Georgia,2020
30,Dolphins,Noah Igbinoghene,CB,Auburn,2020
31,Vikings,Jeff Gladney,CB,TCU,2020
32,Chiefs,Clyde Edwards-Helaire,RB,LSU,2020
1,Jaguars,Trevor Lawrence,QB,Clemson,2021
2,Jets,Zach Wilson,QB,BYU,2021
3,49ers,Trey Lance,QB,North Dakota State,2021
4,Falcons,Kyle Pitts,TE,Florida,2021
5,Bengals,Ja'Marr Chase,WR,LSU,2021
6,Dolphins,Jaylen Waddle,WR,Alabama,2021
7,Lions,Penei Sewell,OT,Oregon,2021
8,Panthers,Jaycee Horn,CB,South Carolina,2021
9,Broncos,Pat Surtain II,CB,Alabama,2021
10,Eagles,DeVonta Smith,WR,Alabama,2021
11,Bears,Justin Fields,QB,Ohio State,2021
12,Cowboys,Micah Parsons,LB,Penn State,2021
13,Chargers,Rashawn Slater,OT,Northwestern,2021
14,Jets,Alijah Vera-Tucker,G,USC,2021
15,Patriots,Mac Jones,QB,Alabama,2021
16,Cardinals,Zaven Collins,LB,Tulsa,2021
17,Raiders,Alex Leatherwood,OT,Alabama,2021
18,Dolphins,Jaelan Phillips,EDGE,Miami,2021
19,Football Team,Jamin Davis,LB,Kentucky,2021
20,Giants,Kadarius Toney,WR,Florida,2021
21,Colts,Kwity Paye,EDGE,Michigan,2021
22,Titans,Caleb Farley,CB,Virginia Tech,2021
23,Vikings,Christian Darrisaw,OT,Virginia Tech,2021
24,Steelers,Najee Harris,RB,Alabama,2021
25,Jaguars,Travis Etienne,RB,Clemson,2021
26,Browns,Greg Newsome II,CB,Northwestern,2021
27,Ravens,Rashod Bateman,WR,Minnesota,2021
28,Saints,Payton Turner,DE,Houston,2021
29,Packers,Eric Stokes,CB,Georgia,2021
30,Bills,Greg Rousseau,EDGE,Miami,2021
31,Ravens,Odafe Oweh,EDGE,Penn State,2021
32,Buccaneers,Joe Tryon-Shoyinka,EDGE,Washington,2021
1,Jaguars,Travon Walker,DE,Georgia,2022
2,Lions,Aidan Hutchinson,DE,Michigan,2022
3,Texans,Derek Stingley Jr.,DB,LSU,2022
4,Jets,Sauce Gardner,CB,Cincinnati,2022
5,Giants,Kayvon Thibodeaux,EDGE,Oregon,2022
6,Panthers,Ikem Ekwonu,OT,N.C. State,2022
7,Giants,Evan Neal,OT,Alabama,2022
8,Falcons,Drake London,WR,USC,2022
9,Seahawks,Charles Cross,OT,Mississippi State,2022
10,Jets,Garrett Wilson,WR,Ohio State,2022
11,Saints,Chris Olave,WR,Ohio State,2022
12,Lions,Jameson Williams,WR,Alabama,2022
13,Eagles,Jordan Davis,DT,Georgia,2022
14,Ravens,Kyle Hamilton,SAF,Notre Dame,2022
15,Texans,Kenyon Green,OL,Texas A&M,2022
16,Commanders,Jahan Dotson,WR,Penn State,2022
17,Chargers,Zion Johnson,OL,Boston College,2022
18,Titans,Treylon Burks,WR,Arkansas,2022
19,Saints,Trevor Penning,OT,Northern Iowa,2022
20,Steelers,Kenny Pickett,QB,Pittsburgh,2022
21,Chiefs,Trent McDuffie,CB,Washington,2022
22,Packers,Quay Walker,LB,Georgia,2022
23,Bills,Kaiir Elam,CB,Florida,2022
24,Cowboys,Tyler Smith,OT,Tulsa,2022
25,Ravens,Tyler Linderbaum,C,Iowa,2022
26,Jets,Jermaine Johnson II,DE,Florida State,2022
27,Jaguars,Devin Lloyd,LB,Utah,2022
28,Packers,Devonte Wyatt,DT,Georgia,2022
29,Patriots,Cole Strange,G,Tennessee-Chattanooga,2022
30,Chiefs,George Karlaftis,EDGE,Purdue,2022
31,Bengals,Daxton Hill,SAF,Michigan,2022
32,Vikings,Lewis Cine,SAF,Georgia,2022
1,Panthers,Bryce Young,QB,Alabama,2023
2,Texans,C.J. Stroud,QB,Ohio State,2023
3,Texans,Will Anderson Jr.,EDGE,Alabama,2023
4,Colts,Anthony Richardson,QB,Florida,2023
5,Seahawks,Devon Witherspoon,CB,Illinois,2023
6,Cardinals,Paris Johnson Jr.,OT,Ohio State,2023
7,Raiders,Tyree Wilson,EDGE,Texas Tech,2023
8,Falcons,Bijan Robinson,RB,Texas,2023
9,Eagles,Jalen Carter,DT,Georgia,2023
10,Bears,Darnell Wright,OT,Tennessee,2023
11,Titans,Peter Skoronski,OT,Northwestern,2023
12,Lions,Jahmyr Gibbs,RB,Alabama,2023
13,Packers,Lukas Van Ness,EDGE,Iowa,2023
14,Steelers,Broderick Jones,OT,Georgia,2023
15,Jets,Will McDonald IV,EDGE,Iowa State,2023
16,Commanders,Emmanuel Forbes,CB,Mississippi State,2023
17,Patriots,Christian Gonzalez,CB,Oregon,2023
18,Lions,Jack Campbell,LB,Iowa,2023
19,Buccaneers,Calijah Kancey,DT,Pittsburgh,2023
20,Seahawks,Jaxon Smith-Njigba,WR,Ohio State,2023
21,Chargers,Quentin Johnston,WR,TCU,2023
22,Ravens,Zay Flowers,WR,Boston College,2023
23,Vikings,Jordan Addison,WR,USC,2023
24,Giants,Deonte Banks,CB,Maryland,2023
25,Bills,Dalton Kincaid,TE,Utah,2023
26,Cowboys,Mazi Smith,DT,Michigan,2023
27,Jaguars,Anton Harrison,OT,Oklahoma,2023
28,Bengals,Myles Murphy,EDGE,Clemson,2023
29,Saints,Bryan Bresee,DT,Clemson,2023
30,Eagles,Nolan Smith,EDGE,Georgia,2023
31,Chiefs,Felix Anudike-Uzomah,EDGE,Kansas State,2023
1,Bears,Caleb Williams,QB,USC,2024
2,Commanders,Jayden Daniels,QB,LSU,2024
3,Patriots,Drake Maye,QB,North Carolina,2024
4,Cardinals,Marvin Harrison Jr.,WR,Ohio State,2024
5,Chargers,Joe Alt,OT,Notre Dame,2024
6,Giants,Malik Nabers,WR,LSU,2024
7,Titans,JC Latham,OT,Alabama,2024
8,Falcons,Michael Penix Jr.,QB,Washington,2024
9,Bears,Rome Odunze,WR,Washington,2024
10,Vikings,J.J. McCarthy,QB,Michigan,2024
11,Jets,Olumuyiwa Fashanu,OT,Penn State,2024
12,Broncos,Bo Nix,QB,Oregon,2024
13,Raiders,Brock Bowers,TE,Georgia,2024
14,Saints,Taliese Fuaga,OT,Oregon State,2024
15,Colts,Laiatu Latu,EDGE,UCLA,2024
16,Seahawks,Byron Murphy II,DT,Texas,2024
17,Vikings,Dallas Turner,EDGE,Alabama,2024
18,Bengals,Amarius Mims,OT,Georgia,2024
19,Rams,Jared Verse,EDGE,Florida State,2024
20,Steelers,Troy Fautanu,OT,Washington,2024
21,Dolphins,Chop Robinson,EDGE,Penn State,2024
22,Eagles,Quinyon Mitchell,CB,Toledo,2024
23,Jaguars,Brian Thomas Jr.,WR,LSU,2024
24,Lions,Terrion Arnold,CB,Alabama,2024
25,Packers,Jordan Morgan,OL,Arizona,2024
26,Buccaneers,Graham Barton,C,Duke,2024
27,Cardinals,Darius Robinson,DE,Missouri,2024
28,Chiefs,Xavier Worthy,WR,Texas,2024
29,Cowboys,Tyler Guyton,OT,Oklahoma,2024
30,Ravens,Nate Wiggins,CB,Clemson,2024
31,49ers,Ricky Pearsall,WR,Florida,2024
32,Panthers,Xavier Legette,WR,South Carolina,2024
1,Titans,Cam Ward,QB,Miami,2025
2,Jaguars,Travis Hunter,WR/CB,Colorado,2025
3,Giants,Abdul Carter,EDGE,Penn State,2025
4,Patriots,Will Campbell,OT,LSU,2025
5,Browns,Mason Graham,DT,Michigan,2025
6,Raiders,Ashton Jeanty,RB,Boise State,2025
7,Jets,Armand Membou,OT,Missouri,2025
8,Panthers,Tetairoa McMillan,WR,Arizona,2025
9,Saints,Kelvin Banks Jr.,OT,Texas,2025
10,Bears,Colston Loveland,TE,Michigan,2025
11,49ers,Mykel Williams,EDGE,Georgia,2025
12,Cowboys,Tyler Booker,G,Alabama,2025
13,Dolphins,Kenneth Grant,DT,Michigan,2025
14,Colts,Tyler Warren,TE,Penn State,2025
15,Falcons,Jalon Walker,EDGE,Georgia,2025
16,Cardinals,Walter Nolen,DT,Mississippi,2025
17,Bengals,Shemar Stewart,EDGE,Texas A&M,2025
18,Seahawks,Grey Zabel,G,North Dakota State,2025
19,Buccaneers,Emeka Egbuka,WR,Ohio State,2025
20,Broncos,Jahdae Barron,CB,Texas,2025
21,Steelers,Derrick Harmon,DT,Oregon,2025
